Review,Sentiment
Could not get strong enough signal.,1
Iam very pleased with my purchase.,1
Bad Quality.,1
Gets the job done.,1
Great audio!.,1
Basically the service was very bad.,1
it did not work in my cell phone plug i am very up set with the charger!.,1
The BT headset was such a disapoinment.,1
It is so small and you don't even realize that it is there after a while of getting used to it.,1
The accompanied software is almost brilliant.,1
Headset works great & was packaged nicely to avoid any damage.,1
!I definitly recommend!!,1
Buyer--Be Very Careful!!!!!.,1
The majority of the Logitech earbud headsets failed.,1
Very good stuff for the price.,1
My headset works just peachy-keen.,1
In my house I was getting dropped coverage upstairs and no coverage in my basement.,1
Voice recognition is tremendous!,1
What a waste.,1
I was not happy with this item.,1
very disappointed.,1
The phone takes FOREVER to charge like 2 to 5 hours literally.,1
I got this phone on reccomendation from a relative and I'm glad I did.,1
What a waste of time!,1
Its reception is very very poor.,1
Items stated as included from the description ARE NOT INCLUDED.,1
I Was Hoping for More.,1
I had absolutely no problem with this headset linking to my 8530 Blackberry Curve!,1
I've bought $5 wired headphones that sound better than these.,1
This phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used.,1
This item is fantastic and works perfectly!,1
And I just love the colors!,1
W810i is just SUPERB.,1
Great charger.,1
This is essentially a communications tool that does not communicate.,1
Great Value.,1
Doesn't work at all.. I bougth it for my L7c and its not working.,1
doesn't last long.,1
One thing I hate is the mode set button at the side.,1
EXCELLENT SERVICE!!!!!!!!.,1
Thank you for wasting my money.,1
How can that be?The audio quality is poor.,1
The iGo chargers and tips are really great.,1
The file browser offers all the options that one needs.Handsfree is great.,1
Superb Phone on a Great Network.,1
It only recognizes the Phone as its storage device.,1
Don't buy this product.,1
I've had this bluetoooth headset for some time now and still not comfortable with the way it fits on the ear.,1
The sound quality is good and functionality is awesome.,1
I recently had problems where I could not stay connected for more than 10 minutes before being disconnected.,1
Incredible!.,1
Design Flaw?.,1
Great phone!.,1
Waste of 13 bucks.,1
The replacement died in a few weeks.,1
Any ring tone..Overall good phone to buy..,1
Lately they have been extremely nice and helpful on the phone.,1
I have had problems wit hit dropping signal and more.,1
Not impressed.,1
You'll love how thin it is.,1
Bad Choice.,1
The pleather case doesn't fit.,1
All in all I think it was a good investment.,1
It makes very strange ticking noises before it ends the call.,1
The best electronics of the available FM Transmitters.,1
Battery lasts only a few hours.,1
I've had this for nearly 2 years and it has worked great for me.,1
Good transmit audio.,1
We are sending it back.,1
I did not bother contacting the company for few dollar product but I learned the lesson that I should not have bought this form online anyway.,1
Great price also!,1
fast service.,1
I would highly recommend this.,1
I would recommend this.,1
WORST PHONE EVER.,1
I'm still infatuated with this phone.,1
Freezes frequently4.,1
It's kind of embarrassing to use because of how it looks and mostly it's embarrassing how child-like the company is.,1
There's a horrible tick sound in the background on all my calls that I have never experienced before.,1
These are certainly very comfortable and functionality is decent.,1
I usually don't like headbands but this one is very lightweight & doesn't mess up my hair.,1
I'm a bit disappointed.,1
I ordered this for sony Ericsson W810i but I think it only worked once (thats when I first used it).,1
The battery is completely useless to me.,1
What a big waste of time.,1
Don't waste your $$$ on this one.,1
Great sound and service.,1
Really pleased with this product so far.,1
One of my favorite purchases ever.,1
best bluetooth on the market.,1
Authentic leather with nice shine and comfort .I recommend you this case !!,1
I was very excited to get this headset because I thought it was really cute.,1
Do not make the same mistake as me.,1
Big Disappointment with calendar sync.,1
the phone was unusable and was not new.,1
Worst Customer Service Ever.,1
It defeats the purpose of a bluetooth headset.,1
Worth every penny.,1
Excellent wallet type phone case.,1
Nice headphones for the price and they work great!,1
Internet is excrutiatingly slow.,1
O my gosh the best phone I have ever had.,1
It's very attractive and appears to be of good quality.,1
I love all the features and form factor.,1
This product had a strong rubber/petroleum smell that was unbearable after a while and caused me to return it,1
poor quality and service.,1
Great Earpiece.,1
Excellent hands free tool.,1
Great for using with your home stereo.,1
Good product - incredible value.,1
Only had this a month but it's worked flawlessly so far.,1
Works great.,1
Absolutel junk.,1
THAT one didn't work either.,1
Battery life is real good.,1
Returned 8 hours later.,1
It's a great item.,1
Don't waste your money!.,1
Love this headset!,1
Worked perfectly!,1
Unreliable - I'm giving up.,1
I gave it 5 stars because of the sound quality.,1
Avoid this one if you can.,1
Reversible plug works great.,1
I wasted my little money with this earpiece.,1
Very good phone.,1
Comfort for our whole family.,1
I love this bluetooth!,1
I am very impressed with this headset from Plantronics.,1
I got it because it was so small and adorable.,1
Great phone!.,1
I wouldn't recommend buying this product.,1
Piece of Junk.,1
Poorly contstruct hinge.,1
Great Phone.,1
Don't buy it.,1
Excellent Phone.,1
DO NOT PURCHASE THIS PHONE.,1
The voice recognition thru the handset is excellent.,1
This is hands down the best phone I've ever had.,1
This one works and was priced right.,1
Customer service was terrible.,1
Battery life still not long enough in Motorola Razor V3i.,1
Sending it back.,1
Now I know that I made a wise decision.,1
Someone shouldve invented this sooner.,1
Good price.,1
Everything worked on the first try.The device was certainly engineered in a clever way and the construction feels good.,1
I received it quickly and it works great!!,1
Has been working great.,1
My 5-year old Nokia 2160 from Tracfone holds the charge a lot better than this.,1
They do not care about the consumer one bit.,1
The instruction manual is lacking.,1
Also its slim enough to fit into my alarm clock docking station without removing the case.,1
Phone now holds charge like it did when it was new.,1
The battery is unreliable as well as the service use antena.,1
It's uncomfortable and the sound quality is quite poor compared with the phone (Razr) or with my previous wired headset (that plugged into an LG).,1
We have gotten a lot of compliments on it.,1
This is definitely a must have if your state does not allow cell phone usage while driving.,1
I want my money back.,1
I love this device.,1
I am also very happy with the price.,1
I ordered this product first and was unhappy with it immediately.,1
The Ngage is still lacking in earbuds.,1
I was able to do voice dialing in the car with no problem.,1
The plug did not work very well.,1
AMAZON SUCKS.,1
Rip off---- Over charge shipping.,1
VERY comfortable.,1
The battery is working well as a replacement for the original that came with the phone over 2 years ago.,1
The reception is excellent!,1
1. long lasting battery (you don't have to recharge it as frequentyly as some of the flip phones)2.,1
Obviously there is a problem with the adhesive.,1
It is practically useless and did not add any kind of boost to my reception after I bought it.,1
Excellent sound quality.,1
Was not happy.,1
A PIECE OF JUNK THAT BROKE AFTER BEING ON MY PHONE FOR 2 DAYS!!!,1
New Battery works great in phone.,1
Worst customer service.,1
Reception is terrible and full of static.,1
Good audio quality.,1
This little device has transformed my organizational capability and made my life a whole lot easier.,1
Were JERKS on the phone.,1
Works like a charm.. Works as advertised.,1
Their network coverage in Los Angeles is horrible.,1
Excellent starter wireless headset.,1
The only thing that I think could improve is the sound leaks out from the headset.,1
The phone gets EXTREMELY HOT!,1
Nice design and quality.,1
It definitely was not as good as my S11.,1
awesome device.,1
Waste of money.,1
Love This Phone.,1
I was looking for this headset for a long time and now that I've got it I couldn't be happier.,1
Display is excellent and camera is as good as any from that year.,1
Battery life is also great!,1
The worst phone I've ever had.... Only had it for a few months.,1
Not a good item.. It worked for a while then started having problems in my auto reverse tape player.,1
This is so embarassing and also my ears hurt if I try to push the ear plug into my ear.,1
Protects the phone on all sides.,1
This is a VERY average phone with bad battery life that operates on a weak network.,1
Soyo technology sucks.,1
Great Hands Free Device.,1
Same problem as others have mentioned.,1
After trying many many handsfree gadgets this is the one that finally works well.,1
Magical Help.,1
Poor sound quality.,1
The best phone in market :).,1
It worked very well.,1
The company shipped my product very promptly and it works well.,1
Exactly what I wanted.,1
The picture resolution is far below what other comparably-priced phones are offering today.,1
This is a great deal.,1
I highly recommend these and encourage people to give them a try.,1
Better than you'd expect.,1
Great product and price.,1
Still Waiting...... I'm sure this item would work well.. if I ever recieve it!,1
what a disappointment,1
Very prompt service.,1
Excellent product for the price.,1
Very pleased with this headset.,1
don't waste your money and time.,1
I especially love the long battery life.,1
Works great.,1
Plantronics Bluetooth Excelent Buy.,1
I came over from Verizon because cingulair has nicer cell phones.... the first thing I noticed was the really bad service.,1
I'll be looking for a new earpiece.,1
I highly recommend this device to everyone!,1
Jawbone Era is awesome too!,1
We received a WHITE colored battery that goes DEAD after a couple hoursTHe original used to last a week - but still lasts longer than thereplacement,1
After a year the battery went completely dead on my headset.,1
An Awesome New Look For Fall 2000!.,1
This is the first phone I've had that has been so cheaply made.,1
The plastic breaks really easy on this clip.,1
Price is BLANK BLANK good too.,1
Don't make the same mistake I did.,1
Oh and I forgot to also mention the weird color effect it has on your phone.,1
I'm using it with an iriver SPINN (with case) and it fits fine.,1
Also the area where my unit broke).- I'm not too fond of the magnetic strap.,1
IT'S REALLY EASY.,1
My Sanyo has survived dozens of drops on blacktop without ill effect.,1
Fantastic earphones.,1
It finds my cell phone right away when I enter the car.,1
Low Quality.,1
I highly recommend this modest priced cellular phone.,1
But it does get better reception and clarity than any phone I've had before.,1
Warning - Stay away.,1
I wish I could return the unit and get back my money.,1
Awsome Device Works Great!!.,1
I used to talk on it for 1 - 1 1/2 hours and the battery would be literally drained and dying.,1
Very Displeased.,1
They made this case too small and is very difficult to install.,1
Restored my phone to like new performance.,1
Does not fit.,1
Very happy with this product.,1
There's really nothing bad I can say about this headset.,1
Portable and it works.,1
I even fully charged it before I went to bed and turned off blue tooth and wi-fi and noticed that it only had 20 % left in the morning.,1
I've also had problems with the phone reading the memory card in which I always turn it on and then off again.,1
Not good when wearing a hat or sunglasses.,1
Timely shipment and quality product.,1
Nice solid keyboard.,1
Very well made and fits my Surefire GX2 perfectly.,1
Horrible phone.,1
BT50 battery junk!.,1
We would recommend these to others.,1
Cant get the software to work with my computer.,1
Disappointed!.,1
poor voice clarity.,1
The battery works great!,1
No buyers remorse on this one!.,1
Very disappointed in AccessoryOne.,1
I find this inexcusable and so will probably be returning this phone and perhaps changing carriers.,1
"Looks great and is strong.""",1
The update procedure is difficult and cumbersome.,1
Disappointment.. I hate anything that goes in my ear.,1
Great software for Motorolas.,1
The delivery was on time.,1
Very easy to use.,1
The volume switch rocketed out of the unit to a destination unknown.,1
I'd like to return it.,1
The keyboard is really worthwhile in usefulness and is sturdy enough I don't expect any problems.,1
You won't regret it!,1
I love this phone!.,1
A Disappointment.,1
Its not user friendly.,1
Unfortunately the ability to actually know you are receiving a call is a rather important feature and this phone is pitiful in that respect.,1
This results in the phone being either stuck at max volume or mute.,1
This PDA rocks.,1
I had Verizon 2 years ago and really liked their service.,1
Pretty piece of junk.,1
Plug was the wrong size.,1
Works as described.,1
Save your money.... I've had this item for 11 months now.,1
Bad Purchase.,1
WELL IM SATISFIED.,1
This battery is an excellent bargain!,1
I would have given no star if I was able.,1
I wear glasses and it fits fine with them.,1
I would not recommend this item to anyone.,1
The holster that arrived did not match the photo in the ad.,1
great...no problems at all!.,1
This frog phone charm is adorable and very eye catching.,1
You never know if you pushed it hard enough or the right number of times for the function you want or not.,1
The sound is clear and the people I talk to on it are amazed at the quality too.,1
I got the aluminum case for my new Palm VX and it worked really well--it has protected my handheld perfectly so far.,1
Mobile Phone Tools are a must have.,1
I am very impressed with the job that Motorola did on the sturdiness of this phone.,1
The phone is sturdy and waterproof.,1
I am not impressed with this and i would not recommend this item to anyone.,1
My only complaint is the standard sound volume is a little low even when turned up to 5(of 5),1
Thanks again to Amazon for having the things I need for a good price!,1
I ended up sliding it on the edge of my pants or back pockets instead.,1
I had to go to a store and bought a new NOKIA phone which is working great.,1
Works great!.,1
REALLY UGLY.,1
The noise shield is incrediable.,1
No real improvement.,1
Razr Battery - Good buy.,1
Keep up the good work Amazon!!,1
They refuse to refund or replace.,1
Unfortunately it's easy to accidentally activate them with the gentle-touch buttons if you accidentally touch the phone to your face while listening.,1
So I basically threw my money out the window for nothing.,1
Great case and price!,1
All it took was one drop from about 6 inches above the kitchen counter and it was cracked.I am not impressed and I am not laughing.,1
The eargels channel the sound directly into your ear and seem to increase the sound volume and clarity.,1
none of the new ones have ever quite worked properly.,1
I am glad I purchased it.,1
I've missed numerous calls because of this reason.,1
Don't buy this product.,1
Worst software ever used.... If I could give this zero stars I would.,1
Trying to make a call on these is an exercise in frustration.,1
The case is a flimsy piece of plastic and has no front or side protection whatsoever.,1
Thank you for such great service.,1
Its a total package.,1
It's AGGRAVATING!,1
Great product for the price!.,1
Virgin Wireless rocks and so does this cheap little phone!,1
Please dont waste your money.,1
Yet Plantronincs continues to use the same flawed charger design.,1
Disapointing Results.,1
Cumbersome design.,1
Great Product.,1
This fixes all the problems.,1
Worst ever.,1
I am very happy,1
"I can barely ever hear on it and am constantly saying ""what?""",1
The battery life is highly unacceptable.,1
That company is a joke.,1
It does everything the description said it would.,1
Due to this happening on every call I was forced to stop using this headset.,1
Better than expected.,1
Battery is holding up well.,1
Also difficult to put on.I'd recommend avoiding this product.,1
I got the car charger and not even after a week the charger was broken...I went to plug it in and it started smoking.,1
Sprint - terrible customer service.,1
Linked to my phone without effort.,1
THey are so cool!,1
Easy to use.,1
Better Than New.,1
Piece of trash.,1
A pretty good product.,1
This is a great phone!.,1
Their Research and Development division obviously knows what they're doing.,1
Those phones are working just fine now.,1
I am more than happy with this product.,1
Poor Construction.,1
This is infuriating.,1
Sprint charges for this service.,1
It fits my ear well and is comfortable on.,1
It doesn't work in Europe or Asia.,1
clipping this to your belt will deffinitely make you feel like 50 cent's up-and-coming.,1
I like design and look of Jabra behing the ear headsets and 5020 is pretty comfortible to wear 24 hours a day without pain in the ear.,1
I was amazed at the quick arrival of the two original lg cell phone batteries and and at a fraction of the price.,1
the charger worked for about a week and then completely stopped charging my phone.,1
Poor product.,1
However I needed some better instructions.,1
You need two hands to operate the screen.This software interface is decade old and cannot compete with new software designs.,1
Worked very well paired with a Treo 700w and as a Skype headset on my PC (using a USB Bluetooth transceiver).,1
DO NOT BUY DO NOT BUYIT SUCKS,1
This is a great product..... sure beats using your fingers!.,1
the sound from this one is shocking,1
Very Dissapointing Performance.,1
Don't make the same mistake that I did and please don't buy this phone.,1
This phone might well be the worst I've ever had in any brand.,1
Case was more or less an extra that I originally put on but later discarded because it scratched my ear.,1
I recommend iGo to anyone with different brand cell phones/mp3 players in the family.,1
Don't bother - go to the store.,1
I did not have any problem with this item and would order it again if needed.,1
You get what you pay for I guess.,1
im surprised BLANK BLANK this is a good quality car charger and there's not much reviews about it.,1
These are fabulous!,1
I used bitpim (a free program you can find on the internet)to transfer data to the phone.The price of the cable was excellent.,1
Very wind-resistant.,1
Linksys should have some way to exchange a bad phone for a refurb unit or something!,1
Phone is sturdy as all nokia bar phones are.,1
Great phone.,1
I'm pleased.,1
Battery is terrible.,1
I found the product to be easy to set up and use.,1
The earpiece on this is too large or too heavy...it keeps falling out of my ear.,1
Talk about USELESS customer service.,1
"It felt too light and ""tinny."".",1
This does not fit the Palm Tungsten E2 and it broke the first time I tried to plug it in.,1
I'm happy about this purchase- good quality and low price.,1
I love the look and feel of Samsung flipphones.,1
Its well-designed and very sharp -- the blue is a very nice color.,1
Does everything it should and more.,1
I could not recommend these more.,1
Nice Sound.,1
Much less than the jawbone I was going to replace it with.,1
Setup went very smoothly.,1
its extremely slow and takes forever to do anything with it.,1
"A must study for anyone interested in the ""worst sins"" of industrial design.",1
The first thing that happened was that the tracking was off.,1
Then I had to continue pairing it periodically since it somehow kept dropping.,1
Can't upload ringtones from a third party.,1
Truly awful.,1
The volume for the ringer is REAL good (you have choices how loud).,1
And none of the tones is acceptable.,1
camera color balance is AWFUL.,1
I love the ringtones because they are so upbeat!,1
Chinese Forgeries Abound!.,1
Easy to pair with my Samsung Cell.,1
The instructions didn't explain that a microphone jack could be used.,1
i would advise to not purchase this item it never worked very well.,1
Too bad you have to pay up to $$$ a month for the service!,1
Works well.,1
The nokia CA-42 USB cable did not work with my phone.,1
Clear crisp sound.,1
The design might be ergonomic in theory but I could not stand having these in my ear.,1
Do NOT buy if you want to use the holster.,1
The phone can also take great pictures and even video clips.,1
It doesn't make you look cool.,1
You can't beat the price on these.,1
lightweight and works well.,1
So just beware.,1
I love this cable - it allows me to connect any mini-USB device to my PC.,1
So anyone near you will hear part of your conversation.,1
This is cool because most cases are just open there allowing the screen to get all scratched up.,1
I bought this phone as a replacement for my StarTac and have regretted it since.,1
Appears to actually outperform the original battery from China that came with my V325i.,1
Can't store anything but phone numbers to SIM.,1
Poor quality.,1
"jabra ear gels ""R"" the best!.",1
Not worth it.,1
The phone crashed completely and now I have to get it replaced.,1
It was a great phone.,1
if you simply want a small flip phone -- look elsewhere as the extra bells & whistles are mediocre.,1
My phone doesn't slide around my car now and the grip prevents my phone from slipping out of my hand.,1
This is simply the BEST bluetooth headset for sound quality!,1
Think it over when you plan to own this one!This sure is the last MOTO phone for me!,1
I have always used corded headsets and the freedom from the wireless is very helpful.,1
It has everything I need and I couldn't ask for more.,1
After receiving and using the product for just 2 days it broke.,1
This product is great... it makes working a lot easier I can go to the copier while waiting on hold for something.,1
None of the three sizes they sent with the headset would stay in my ears.,1
T-Mobile has the best customer service anywhere.,1
Arrived quickly and much less expensive than others being sold.,1
We have tried 2 units and they both failed within 2 months.. Pros,1
Krussel Always good.,1
The design is very good.4.,1
I great reception all the time.,1
I would highly recommend this product.,1
It dit not work most of the time with my Nokia 5320.,1
Fantastic buy and will get again for whatever my next phone is,1
This BlueAnt Supertooth hands-free phone speaker is AWESOME.,1
Does not fit.,1
.... Item arrived quickly and works great with my Metro PCS Samsung SCH-r450 slider phone and Sony Premium Sound in ear plugs.,1
Blue Ant is easy to use.,1
Cheap but hey it works.. Was pleasantly suprised given the low cost of this item.,1
The camera on the phone may be used as a dustpan when indoors... I'd rather be using a disposable then this.,1
Then a few days later the a puff of smoke came out of the phone while in use.,1
It's very convenient and simple to use - gets job done & makes the car ride so much smoother.,1
The nano stated it.My son was dissapointed.,1
The sound quality is excellent as well.,1
Its the best headset I have used.,1
Would not reccommend.,1
They have been around for years and carries the highest quality of anti-glare screen protector that I have found to date.,1
Just what I wanted.,1
This particular model would not work with my Motorola Q smartphone.,1
wont work right or atleast for me.,1
"But now that it is ""out of warranty"" the same problems reoccure.Bottom line... put your money somewhere else... Cingular will not support it.",1
Great product.,1
Crisp and Clear.,1
AFter the first charge kept going dead after 12 minutes.,1
The reception has been generally good.,1
Great bluetooth!.,1
I highly recommend this case.,1
WORTHWHILE.,1
This is a great deal.,1
I am sorry I made this purchase.,1
I bought these hoping I could make my Bluetooth headset fit better but these things made it impossible to wear.,1
Treo and T-Mobile refused to replace it again and forced me to buy another phone without any kind of upgrade discount.,1
It was horrible!.,1
I don't think it would hold it too securly on your belt.,1
This allows the possibility of double booking for the same date and time after the first.,1
They work about 2 weeks then break.,1
It is simple to use and I like it.,1
I can't use this case because the smell is disgusting.,1
NOT WHAT I WANTED.,1
I own 2 of these cases and would order another.,1
Great Phone.,1
I bought this battery with a coupon from Amazon and I'm very happy with my purchase.,1
Perfect for the PS3.,1
A good quality bargain.. I bought this after I bought a cheapy from Big Lots that sounded awful and people on the other end couldn't hear me.,1
$50 Down the drain.,1
I tried talking real loud but shouting on the telephone gets old and I was still told it wasn't great.,1
For the price this was a great deal.,1
Yes it's shiny on front side - and I love it!,1
Does Not Work.,1
The reception through this headset is excellent.,1
2 thumbs up to this seller,1
Improper description.... I had to return it.,1
#1 It Works - #2 It is Comfortable.,1
Battery charge-life is quite long.,1
The Jabra EarGels fit my ears very well.,1
Battery has no life.,1
Product is exactly as described.,1
Gets a signal when other Verizon phones won't.,1
Doesn't do the job.,1
I would recommend it.,1
Plan on ordering from them again and again.,1
I have been very satisfied with this cell phone from day one.,1
They keep getting better and better (this is my third one and I've had numerous Palms too).,1
Awkward to use and unreliable.,1
The shipping time was also very quick!,1
Not as good as I had hoped.,1
Good case!.,1
Doesn't Work.,1
Really good product.,1
Unfortunately it did not work.,1
All three broke within two months of use.,1
dont buy it.,1
I don't like this Nokia either.,1
I have bought this Nokia cell phone a few weeks ago and it was a nightmare.,1
It would take too long to describe how bad my customer service experience has been with Amazon.,1
Terrible.. My car will not accept this cassette.,1
It's not what it says it is.,1
Stay Away From the Q!.,1
Used and dirty.,1
Very unreliable service from T-mobile !,1
Not good enough for the price.,1
I bought two of them and neither will charge.,1
It looks very nice.,1
I have read other's reviews here but I haven't had any problem with it.,1
These products cover up the important light sensor above the ear outlet.,1
Comfortable in my hand.,1
Just does not work.,1
Poor Reliability.,1
(It works!),1
Last time buying from you.,1
It was a waste of my money.,1
So far it has worked like a charm.,1
Would recommend this item.,1
The item received was Counterfeit.,1
Works fine.,1
I received my headset in good time and was happy with it.,1
I was very pleased to see that I could replace my well travled swivel holster for my Blackberry flip.,1
My sister has one also and she loves it.,1
Good Quality.,1
This is by far the worst purchase I've made on Amazon.,1
Excellent dual-purpose headset.,1
Excellent!.,1
Does not work for listening to music with the cingular 8125.,1
Having trouble with volume.,1
The only good thing was that it fits comfortably on small ears.,1
WARNING - DO NOT BUY!!.,1
Best headset ever!!!.,1
Don't trust their website and don't expect any helpful support.,1
It was that loud.Glad to say that the Plantronics 510 maintains a flawless connection to my cell and with no static during normal use.,1
The speaker is of low quality so as making the ring tones sound very cheap.,1
Excellent product for the price.,1
Bad Reception.,1
It was quite comfortable in the ear.,1
Great phone.,1
Don't buy this product - It fails!.,1
Everything about this product is wrong.First,1
The pairing of the two devices was so easy it barely took a couple minutes before I started making calls with the voice dialing feature.,1
Terrible phone holder.,1
The cutouts and buttons are placed perfectly.,1
I love being able to use one headset for both by land-line and cell.,1
Problem is that the ear loops are made of weak material and break easily.,1
Not nearly as good looking as the AMAZON picture makes it look.,1
How stupid is that?,1
Seller shipped quickly and much cheaper than the competitors.,1
So I bought about 10 of these and saved alot of money.,1
It always cuts out and makes a beep beep beep sound then says signal failed.,1
Couldn't figure it out,1
So I had to take the battery out of the phone put it all back together and then restart it.,1
Leopard Print is wonderfully wild!.,1
Works for me.,1
much better than the hard plastic cases.,1
It also had a new problem.,1
Happy so far!.,1
cool phone.,1
Works good.,1
Motorola finally got the voice quality of a bluetooth headset right.,1
It looses connection to the phone even when it is within a couple feet between the two.,1
Makes it easier to keep up with my bluetooth when I'm not wearing it.,1
As I said above....PRETTY USELESS!,1
Never got it!!!!!,1
This pair of headphones is the worst that I have ever had sound-wise.,1
[...] down the drain because of a weak snap!,1
Does not charge the Cingular (ATT) 8525 phone.,1
"You get extra minutes so that you can carry out the call and not get cut off.""",1
I kept catching the cable on the seat and I had to pull the phone out to turn it on an off.,1
The headset fulfills my requirements so I am happy with my purchase.,1
Logitech Bluetooth Headset is a 10!.,1
A lot of websites have been rating this a very good phone and so do I.,1
I have tried these cables with my computer and my iPod and it works just fine.,1
I'm returning them.,1
I does not maintain a connection with the computer while it is on my lap.,1
It is easy to turn on and off when you are in the car and the volume controls are quite accessable.,1
I have had mine for about a year and this Christmas I bought some for the rest of the family.,1
nice leather.,1
I had to purchase a different case.,1
It is a joy to use.,1
Very much disappointed with this company.,1
Very satisifed with that.,1
It didn't charge for me.,1
This is the phone to get for 2005.... I just bought my S710a and all I can say is WOW!,1
Buttons are too small.,1
Just reading on the specs alone makes you say WOW.,1
Love it.. Great armband.,1
I really like this product over the Motorola because it is allot clearer on the ear piece and the mic.,1
I exchanged the sony ericson z500a for this and I'm pretty happy with that decision.,1
I was very impressed with the price of the cases.,1
Also makes it easier to hold on to.,1
It's pretty easy.,1
I cannot make calls at certain places.,1
Beautiful styling though.,1
This company charge me a restocking fee and still not given me my refund back.,1
I'm trying to return it for a refund.,1
I plugged it in only to find out not a darn thing worked.,1
Excellent product.,1
Earbud piece breaks easily.,1
Lousy product.,1
This phone tries very hard to do everything but fails at it's very ability to be a phone.,1
It is the best charger I have seen on the market yet.,1
SWEETEST PHONE!!!,1
It fits so securely that the ear hook does not even need to be used and the sound is better directed through your ear canal.,1
Not enough volume.,1
Echo Problem....Very unsatisfactory,1
you could only take 2 videos at a time and the quality was very poor.,1
don't waste your money.,1
